model	R2_mean	RMSE_mean	R2_LFC_mean	RMSE_LFC_mean	Pearson_mean
lat64_enc512x3_do0.2_lr0.0001	0.774155355989933	0.052125777691079	-1.741511397063732	0.0521257773194432	0.9643619688357308
lat128_enc128x3_do0.2_lr0.0001	0.7568572759628296	0.0541810948053728	-1.946968838572502	0.0541810945029374	0.9654394284749576
lat256_enc128x2_do0.2_lr0.0001	0.7694711983203888	0.0528140744262708	-1.797761857509613	0.0528140741239767	0.9649715530591352
lat256_enc128x3_do0.2_lr0.0001	0.7555344998836517	0.0543264131516361	-1.967076450586319	0.0543264131516361	0.9644840506006442
lat64_enc256x2_do0.2_lr0.0001	0.7762191370129585	0.0521027722979769	-1.7321076095104218	0.0521027726029821	0.9639841690643864
lat64_enc256x3_do0.2_lr0.0001	0.772796280682087	0.0523165927393476	-1.752535879611969	0.0523165927393476	0.9666709838695215
lat128_enc256x2_do0.2_lr0.0001	0.7764113247394562	0.0518326338730933	-1.7095505893230438	0.0518326332979072	0.9683145080320904
lat128_enc256x3_do0.2_lr0.0001	0.7662410661578178	0.0530928374692473	-1.837388202548027	0.053092837589821	0.96474595103196
lat256_enc256x2_do0.2_lr0.0001	0.7816656306385994	0.0513095055572015	-1.6726583912968636	0.0513095058184721	0.9691419612392788
lat256_enc256x3_do0.2_lr0.0001	0.771096371114254	0.0526251517021468	-1.7906177043914795	0.0526251517021468	0.9653486317072336
lat64_enc512x2_do0.2_lr0.0001	0.7850782200694084	0.0508597240504574	-1.6013604626059532	0.0508597240504574	0.9671693356016918
lat128_enc512x2_do0.2_lr0.0001	0.7795222699642181	0.0514715409637487	-1.6726858615875244	0.051471541139452	0.9677484745933044
lat128_enc512x3_do0.2_lr0.0001	0.7855258882045746	0.0508752483757815	-1.6212674230337143	0.0508752479129051	0.969580670777246
lat256_enc512x2_do0.2_lr0.0001	0.7889000177383423	0.0503628049196088	-1.5745445117354393	0.0503628054185337	0.9715475829886184
lat256_enc512x3_do0.2_lr0.0001	0.7811092063784599	0.051432918272467	-1.6548208594322205	0.051432918272467	0.9666331189592676
lat64_enc128x2_do0.2_lr0.0003	0.7760906890034676	0.0520597709454321	-1.7213659882545471	0.0520597709454321	0.9631907950733768
lat64_enc128x3_do0.2_lr0.0003	0.7650198861956596	0.0533372610998781	-1.8518884778022768	0.0533372610507654	0.9651378153949308
lat128_enc128x2_do0.2_lr0.0003	0.7727872878313065	0.0525161870676701	-1.7475641518831253	0.0525161875200514	0.9612060529766632
lat128_enc128x3_do0.2_lr0.0003	0.7623065784573555	0.0537018358862832	-1.871922180056572	0.0537018354343445	0.9615163118386132
lat256_enc128x2_do0.2_lr0.0003	0.774140827357769	0.052314033271638	-1.7436546981334686	0.052314033271638	0.9653752867690552
lat256_enc128x3_do0.2_lr0.0003	0.7608201429247856	0.0538286453000201	-1.893674373626709	0.0538286453000201	0.9637565241375904
